Date,SKU,Product Name,Category,Customer Segment,Unit Price,Cost,Competitor Price,Quantity Sold,Inventory
2026-01-01,WID-A,Widget A,Electronics,Retail,20.00,10.00,22.00,100,500
2026-01-02,WID-A,Widget A,Electronics,Retail,20.00,10.00,22.00,95,500
2026-01-03,WID-A,Widget A,Electronics,Retail,20.00,10.00,22.00,105,500
2026-01-04,WID-A,Widget A,Electronics,Retail,22.00,10.00,23.00,90,500
2026-01-05,WID-A,Widget A,Electronics,Retail,22.00,10.00,23.00,92,500
2026-01-06,WID-A,Widget A,Electronics,Retail,25.00,10.00,26.00,80,500
2026-01-07,WID-A,Widget A,Electronics,Retail,25.00,10.00,26.00,82,500
2026-01-08,WID-A,Widget A,Electronics,Retail,25.00,10.00,26.00,78,500
2026-01-09,WID-A,Widget A,Electronics,Retail,28.00,10.00,29.00,70,500
2026-01-10,WID-A,Widget A,Electronics,Retail,28.00,10.00,29.00,68,500
2026-01-11,WID-A,Widget A,Electronics,Retail,30.00,10.00,31.00,60,500
2026-01-12,WID-A,Widget A,Electronics,Retail,30.00,10.00,31.00,58,500
2026-01-13,WID-A,Widget A,Electronics,Retail,30.00,10.00,31.00,62,500
